pap_pro_id,exam_id,exam_paper_id,exam_param_id,problem_id,order,last_submit_time,submit_id,is_aced,used_time,submit_count,score,create_time,modify_time,modify_user_id,know_name
115182,133,22557,831,41,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115183,133,22557,832,449,3,2022-01-05 11:15:44,447822,5,0,16,0,2022-01-05 09:27:57,2022-01-05 11:15:45,-1,时空权衡
115184,133,22557,833,445,4,2022-01-05 10:16:08,445229,1,3068,2,6,2022-01-05 09:27:57,2022-01-05 10:16:09,-1,迭代改进
115175,133,22558,829,628,0,2022-01-05 10:55:08,446937,2,0,4,4,2022-01-05 09:27:57,2022-01-14 17:35:57,3088,动态规划
115176,133,22558,830,32,1,2022-01-05 10:57:30,447050,5,0,1,0,2022-01-05 09:27:57,2022-01-05 10:57:31,-1,动态规划
115177,133,22558,831,35,2,2022-01-05 11:19:08,447950,8,0,1,0,2022-01-05 09:27:57,2022-01-05 11:19:09,-1,贪心策略
115178,133,22558,832,449,3,2022-01-05 11:13:32,447739,2,0,10,4,2022-01-05 09:27:57,2022-01-14 17:36:00,3088,时空权衡
115179,133,22558,833,134,4,2022-01-05 10:50:05,446713,6,0,2,0,2022-01-05 09:27:57,2022-01-05 10:50:07,-1,迭代改进
115170,133,22559,829,628,0,2022-01-05 10:46:00,446548,1,8460,5,6,2022-01-05 09:27:57,2022-01-05 10:46:01,-1,动态规划
115171,133,22559,830,32,1,2022-01-05 12:03:20,449464,1,22700,13,6,2022-01-05 09:27:57,2022-01-05 12:03:21,-1,动态规划
115172,133,22559,831,41,2,2022-01-05 12:09:35,449718,8,0,5,0,2022-01-05 09:27:57,2022-01-05 12:09:36,-1,贪心策略
115173,133,22559,832,449,3,2022-01-05 11:11:29,447641,6,0,1,0,2022-01-05 09:27:57,2022-01-05 11:11:29,-1,时空权衡
115174,133,22559,833,134,4,2022-01-05 11:25:40,448179,8,0,1,0,2022-01-05 09:27:57,2022-01-05 11:25:40,-1,迭代改进
115165,133,22560,829,628,0,2022-01-05 10:00:16,444587,1,3316,3,6,2022-01-05 09:27:57,2022-01-05 10:00:18,-1,动态规划
115166,133,22560,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115167,133,22560,831,35,2,2022-01-05 11:53:18,449171,2,0,7,5.4,2022-01-05 09:27:57,2022-01-05 11:53:20,-1,贪心策略
115168,133,22560,832,31,3,2022-01-05 09:54:06,444503,6,0,1,0,2022-01-05 09:27:57,2022-01-05 09:54:09,-1,时空权衡
115169,133,22560,833,445,4,2022-01-05 10:43:15,446436,1,3495,1,6,2022-01-05 09:27:57,2022-01-05 10:43:15,-1,迭代改进
115160,133,22561,829,3,0,2022-01-05 11:10:32,447604,5,0,17,0,2022-01-05 09:27:57,2022-01-05 11:10:34,-1,动态规划
